file_name,hair_color,eyeglasses,smiling,young,human
247.png,1,-1,1,1,-1
249.png,2,-1,1,1,-1
250.png,4,-1,-1,1,1
252.png,3,-1,-1,1,1
254.png,4,-1,1,-1,1
255.png,4,1,1,1,-1
256.png,1,-1,1,1,1
257.png,1,-1,1,1,-1
258.png,-1,-1,-1,1,1
259.png,3,-1,-1,1,1
260.png,4,1,1,1,-1
261.png,1,-1,1,1,-1
262.png,3,-1,1,1,1
263.png,1,-1,1,1,-1
264.png,1,-1,-1,1,1
265.png,3,-1,1,1,-1
267.png,-1,-1,1,1,1
268.png,4,1,1,1,-1
269.png,1,-1,-1,1,1
270.png,2,-1,1,1,-1
271.png,1,-1,1,1,-1
272.png,4,-1,1,1,1
273.png,1,1,1,1,-1
274.png,1,-1,1,1,1
275.png,3,-1,1,1,-1
276.png,5,-1,1,-1,-1
277.png,-1,-1,1,-1,1
278.png,4,-1,1,1,-1
279.png,1,-1,-1,1,1
280.png,0,-1,1,-1,1
281.png,3,-1,-1,1,1
282.png,-1,-1,-1,1,1
283.png,2,-1,1,1,-1
284.png,3,-1,-1,1,1
285.png,-1,-1,-1,1,1
286.png,5,1,1,-1,-1
287.png,4,-1,1,1,1
288.png,-1,-1,-1,-1,1
290.png,2,-1,1,1,-1
291.png,0,-1,-1,-1,1
292.png,4,-1,-1,1,1
293.png,5,-1,1,-1,1
294.png,4,-1,1,1,1
295.png,4,-1,1,1,-1
296.png,1,-1,1,1,1
297.png,4,-1,1,1,-1
298.png,3,-1,-1,1,1
299.png,2,1,1,1,-1
300.png,1,-1,1,1,-1
302.png,5,1,1,-1,-1
303.png,2,-1,1,1,-1
304.png,4,-1,-1,1,1
306.png,4,-1,1,1,-1
307.png,4,-1,-1,1,1
308.png,3,-1,1,-1,1
309.png,1,-1,1,1,-1
310.png,5,-1,1,-1,-1
311.png,4,-1,-1,1,1
312.png,1,1,1,1,-1
313.png,5,-1,-1,1,1
314.png,1,-1,1,1,-1
315.png,2,1,1,1,-1
317.png,2,-1,1,1,-1
318.png,3,-1,1,1,-1
319.png,-1,-1,1,1,1
320.png,2,-1,1,1,-1
321.png,3,-1,1,1,-1
322.png,2,-1,1,1,-1
323.png,4,-1,-1,1,1
325.png,1,-1,1,1,1
327.png,2,1,1,1,-1
328.png,4,-1,1,-1,1
329.png,5,-1,1,-1,-1
330.png,4,-1,1,-1,1
331.png,4,-1,1,1,1
332.png,-1,-1,-1,-1,1
333.png,-1,-1,1,1,1
334.png,5,-1,1,-1,-1
335.png,5,-1,1,-1,-1
336.png,3,-1,1,-1,1
337.png,1,-1,1,1,-1
338.png,-1,-1,-1,1,1
339.png,3,1,1,1,-1
340.png,2,1,1,1,-1
342.png,-1,-1,1,1,1
343.png,3,1,1,1,-1
344.png,1,1,1,1,-1
345.png,1,-1,-1,1,1
346.png,4,-1,1,-1,1
347.png,3,1,1,1,-1
348.png,3,-1,-1,1,1
349.png,5,1,1,-1,-1
350.png,4,1,1,1,1
351.png,3,-1,1,1,-1
352.png,4,1,1,1,-1
353.png,3,-1,1,1,-1
354.png,1,-1,1,1,-1
355.png,-1,-1,1,1,1
356.png,1,-1,1,1,-1
357.png,4,-1,1,1,1
360.png,4,-1,-1,1,1
361.png,3,-1,1,1,-1
362.png,3,-1,1,1,-1
363.png,3,-1,1,1,1
365.png,1,-1,1,1,1
366.png,0,-1,-1,1,1
367.png,4,-1,-1,1,1
369.png,4,-1,1,1,-1
370.png,4,-1,-1,1,1
371.png,1,1,1,1,-1
372.png,-1,-1,1,-1,1
373.png,3,-1,-1,1,1
374.png,3,1,1,1,-1
375.png,5,-1,1,-1,-1
376.png,-1,-1,1,1,1
377.png,4,-1,-1,1,1
378.png,3,-1,1,1,1
379.png,4,-1,1,1,-1
380.png,3,-1,1,1,1
381.png,4,-1,1,1,-1
382.png,-1,-1,-1,-1,1
383.png,1,-1,1,1,1
384.png,5,-1,1,-1,-1
385.png,5,1,1,-1,-1
388.png,1,1,1,1,-1
389.png,4,-1,1,1,1
390.png,3,-1,-1,1,1
391.png,2,1,1,1,-1
392.png,4,-1,-1,1,1
394.png,1,-1,-1,1,1
395.png,5,1,1,-1,-1
396.png,3,-1,1,1,1
397.png,4,-1,-1,1,1
398.png,5,1,1,-1,-1
399.png,4,1,1,1,-1
400.png,3,-1,1,1,1
401.png,1,-1,1,-1,1
402.png,3,1,1,1,-1
403.png,1,1,1,1,-1
404.png,3,-1,1,-1,1
405.png,3,1,1,1,-1
406.png,1,-1,1,1,-1
407.png,1,-1,1,1,-1
408.png,3,-1,1,1,-1
409.png,3,-1,1,1,-1
410.png,-1,-1,-1,1,1
411.png,5,-1,1,-1,1
412.png,-1,-1,1,1,1
413.png,3,-1,1,1,-1
414.png,2,-1,1,1,-1
416.png,5,1,1,-1,-1
417.png,3,-1,1,1,1
418.png,1,1,1,1,-1
419.png,5,-1,1,-1,-1
420.png,-1,-1,-1,1,1
421.png,2,-1,1,1,-1
422.png,3,1,1,1,-1
423.png,3,-1,-1,1,1
424.png,3,-1,1,1,1
425.png,4,1,1,1,-1
426.png,-1,-1,1,-1,1
428.png,3,-1,1,1,-1
429.png,1,-1,1,1,-1
430.png,3,-1,1,-1,1
431.png,4,-1,1,1,1
433.png,1,-1,1,1,-1
434.png,2,1,1,1,-1
435.png,2,1,1,1,-1
436.png,-1,-1,-1,1,1
437.png,3,-1,-1,-1,1
438.png,2,1,1,1,-1
439.png,1,-1,-1,1,1
441.png,-1,-1,-1,1,1
442.png,-1,-1,1,1,1
443.png,2,1,1,1,-1
444.png,4,-1,1,1,-1
445.png,3,-1,-1,1,1
446.png,2,-1,1,1,-1
447.png,3,-1,1,1,-1
448.png,3,-1,1,1,1
450.png,-1,-1,1,1,1
451.png,4,1,1,1,-1
453.png,-1,-1,1,1,1
454.png,2,1,1,1,-1
455.png,1,-1,1,1,1
456.png,3,1,1,1,1
457.png,3,-1,-1,1,1
458.png,2,-1,1,1,-1
459.png,5,-1,1,-1,-1
460.png,4,-1,-1,1,1
461.png,3,-1,1,1,1
462.png,3,1,1,1,-1
463.png,3,-1,1,1,1
464.png,4,-1,1,1,1
465.png,4,-1,1,1,1
467.png,3,-1,-1,1,1
468.png,4,1,1,1,-1
469.png,4,-1,-1,1,1
470.png,5,1,1,-1,-1
472.png,5,-1,1,-1,-1
473.png,3,-1,1,1,-1
474.png,-1,-1,-1,1,1
475.png,5,-1,1,-1,-1
476.png,5,-1,1,-1,-1
477.png,1,-1,1,1,-1
478.png,3,-1,1,1,-1
479.png,3,-1,1,1,-1
480.png,1,-1,1,1,1
481.png,3,-1,1,1,-1
482.png,3,1,1,1,-1
483.png,2,-1,1,1,-1
484.png,-1,-1,-1,1,1
485.png,-1,-1,1,1,1
486.png,4,-1,-1,1,1
487.png,2,1,1,1,-1
488.png,1,1,1,1,-1
489.png,5,1,1,-1,-1
490.png,2,1,1,1,-1
491.png,3,1,1,1,-1
492.png,5,1,1,-1,-1
493.png,1,-1,1,1,1
494.png,1,1,1,1,-1
495.png,3,-1,-1,1,1
496.png,3,1,1,1,-1
497.png,3,-1,-1,1,1
498.png,-1,-1,-1,1,1
499.png,4,-1,-1,1,1
500.png,1,-1,1,1,1
501.png,1,-1,-1,1,1
502.png,3,-1,1,1,-1
504.png,3,-1,1,1,-1
505.png,1,1,1,1,-1
506.png,0,-1,1,-1,-1
507.png,3,-1,1,1,1
508.png,4,-1,1,1,-1
509.png,1,1,1,1,-1
510.png,1,-1,1,1,1
513.png,-1,-1,-1,-1,1
514.png,3,1,1,1,-1
515.png,-1,-1,1,-1,1
516.png,3,-1,-1,1,1
518.png,3,-1,1,-1,1
519.png,-1,-1,1,1,1
520.png,5,1,1,-1,-1
521.png,-1,-1,1,1,1
522.png,1,-1,1,1,1
523.png,4,-1,1,1,1
524.png,-1,-1,1,1,1
525.png,1,1,1,1,-1
526.png,1,1,1,1,-1
527.png,4,-1,-1,1,1
528.png,5,1,1,-1,-1
529.png,-1,-1,1,1,1
530.png,-1,-1,1,1,1
531.png,3,1,1,1,-1
532.png,1,-1,1,-1,1
533.png,3,-1,-1,-1,1
534.png,2,1,1,1,-1
535.png,1,-1,1,-1,1
536.png,1,1,1,1,-1
537.png,4,-1,1,1,-1
538.png,3,-1,-1,1,1
540.png,1,1,1,1,-1
541.png,2,-1,1,1,-1
543.png,3,-1,1,1,-1
544.png,4,-1,1,1,-1
545.png,2,1,1,1,-1
546.png,3,-1,-1,1,1
547.png,2,-1,1,1,-1
549.png,4,-1,-1,1,1
550.png,1,-1,1,1,-1
551.png,2,1,1,1,-1
552.png,4,-1,1,-1,1
553.png,2,1,1,1,-1
554.png,5,1,1,-1,-1
555.png,1,-1,1,1,1
556.png,4,-1,-1,1,1
557.png,5,-1,1,-1,-1
558.png,-1,-1,1,1,1
559.png,4,-1,1,1,-1
560.png,-1,1,-1,-1,1
561.png,5,1,1,-1,-1
562.png,2,-1,1,1,-1
563.png,0,-1,1,-1,-1
564.png,4,-1,1,1,-1
565.png,3,1,1,1,-1
566.png,2,-1,1,1,-1
567.png,2,-1,1,1,-1
568.png,5,-1,1,-1,-1
569.png,3,-1,1,1,1
570.png,1,-1,1,1,-1
571.png,5,-1,1,-1,-1
572.png,1,1,1,1,-1
573.png,3,-1,1,1,1
576.png,4,1,1,1,-1
577.png,-1,-1,1,1,1
578.png,3,1,1,1,-1
579.png,4,1,1,1,-1
580.png,-1,-1,-1,1,1
581.png,-1,-1,1,1,1
582.png,-1,-1,1,1,1
583.png,3,-1,1,1,1
584.png,4,-1,1,1,1
585.png,5,1,1,-1,-1
586.png,3,-1,1,1,-1
587.png,-1,-1,-1,1,1
588.png,3,-1,1,1,-1
589.png,-1,-1,1,-1,1
590.png,5,-1,1,-1,-1
591.png,1,1,1,1,-1
592.png,-1,-1,1,1,1
593.png,1,-1,1,1,1
594.png,1,-1,1,1,-1
595.png,1,1,1,1,-1
597.png,-1,-1,-1,1,1
598.png,3,-1,1,1,-1
599.png,-1,-1,-1,1,1
601.png,3,-1,1,1,1
602.png,3,1,-1,1,1
603.png,-1,-1,-1,1,1
604.png,1,-1,1,1,-1
605.png,1,-1,1,1,-1
606.png,2,1,1,1,-1
607.png,5,1,1,-1,-1
608.png,1,-1,1,1,1
609.png,2,-1,1,1,-1
611.png,4,-1,1,1,1
612.png,1,-1,1,1,1
613.png,3,-1,1,1,1
614.png,4,-1,1,1,1
615.png,-1,-1,-1,1,1
616.png,4,-1,-1,1,1
617.png,1,1,1,1,-1
618.png,3,-1,1,1,-1
619.png,1,1,1,1,-1
620.png,1,-1,1,1,1
621.png,3,-1,1,1,1
622.png,1,-1,-1,1,1
623.png,1,-1,1,1,-1
624.png,4,-1,1,1,1
626.png,3,1,1,1,-1
627.png,1,-1,1,1,1
628.png,4,-1,1,1,1
629.png,-1,-1,1,1,1
630.png,-1,-1,1,1,1
631.png,4,-1,-1,1,1
632.png,2,-1,1,1,-1
633.png,2,1,1,1,-1
634.png,2,-1,1,1,-1
635.png,-1,-1,1,-1,1
636.png,1,-1,1,1,1
637.png,-1,-1,1,1,1
640.png,1,-1,1,1,-1
641.png,-1,-1,-1,-1,1
642.png,1,-1,1,1,1
643.png,4,-1,1,1,1
644.png,4,-1,1,1,1
645.png,4,1,-1,1,1
646.png,1,1,1,1,-1
647.png,1,-1,1,1,-1
648.png,2,1,1,1,-1
649.png,4,-1,-1,1,1
651.png,4,-1,-1,1,1
652.png,3,-1,1,-1,1
653.png,-1,-1,1,-1,1
654.png,3,1,1,1,-1
655.png,5,-1,1,-1,-1
656.png,1,-1,1,1,1
657.png,5,-1,1,-1,-1
658.png,3,-1,-1,1,1
659.png,-1,-1,1,1,1
660.png,4,-1,1,1,1
661.png,3,1,1,1,-1
662.png,1,-1,1,1,-1
664.png,4,-1,1,1,-1
665.png,-1,-1,1,-1,1
666.png,2,-1,1,1,-1
667.png,4,1,1,1,-1
668.png,4,-1,1,1,1
670.png,2,-1,1,1,-1
671.png,5,-1,1,-1,-1
672.png,2,-1,1,1,-1
673.png,4,-1,-1,1,1
674.png,3,-1,1,1,-1
675.png,4,-1,1,1,1
676.png,4,-1,-1,1,1
677.png,1,1,1,1,-1
678.png,5,1,1,-1,-1
679.png,4,-1,1,1,-1
680.png,-1,-1,1,1,1
681.png,3,1,1,1,-1
682.png,5,-1,1,-1,-1
683.png,5,-1,1,-1,-1
684.png,3,-1,1,1,-1
685.png,3,-1,1,1,1
686.png,3,1,-1,1,1
687.png,1,-1,1,-1,1
688.png,5,1,1,-1,-1
689.png,4,-1,-1,1,1
690.png,4,-1,1,1,1
691.png,3,-1,1,1,-1
693.png,1,-1,-1,1,1
694.png,2,-1,1,1,-1
696.png,1,-1,1,1,1
697.png,2,1,1,1,-1
698.png,3,1,-1,1,1
699.png,4,-1,1,1,-1
700.png,1,1,1,1,-1
701.png,2,1,1,1,-1
702.png,1,1,1,1,-1
703.png,2,1,1,1,-1
704.png,3,-1,-1,1,1
705.png,-1,-1,-1,-1,1
706.png,4,-1,1,1,1
707.png,2,-1,1,1,-1
708.png,4,-1,1,1,1
709.png,-1,-1,1,1,1
710.png,-1,-1,-1,1,1
712.png,5,1,1,-1,-1
713.png,1,-1,1,1,-1
715.png,1,-1,1,1,-1
716.png,1,-1,1,-1,1
717.png,5,-1,1,-1,-1
719.png,3,1,1,-1,1
720.png,1,-1,1,1,-1
721.png,1,-1,1,1,-1
722.png,1,1,1,1,-1
723.png,5,1,1,-1,-1
724.png,4,-1,1,1,1
725.png,1,-1,1,1,-1
726.png,3,-1,1,1,-1
727.png,0,-1,-1,-1,1
729.png,3,-1,1,1,-1
730.png,1,1,1,1,-1
732.png,-1,-1,-1,1,1
733.png,-1,-1,1,-1,1
734.png,3,-1,1,1,-1
735.png,-1,-1,1,1,1
736.png,-1,-1,-1,1,1
737.png,1,1,1,1,-1
738.png,5,1,1,-1,-1
739.png,3,-1,-1,1,1
740.png,2,-1,1,1,-1
742.png,2,1,1,1,-1
743.png,4,-1,1,1,-1
744.png,3,1,1,1,-1
745.png,1,1,1,1,-1
746.png,1,1,1,1,-1
747.png,3,-1,1,1,-1
749.png,1,-1,1,1,1
750.png,4,-1,-1,1,1
751.png,3,-1,1,1,1
752.png,1,1,1,1,-1
753.png,3,-1,1,1,1
755.png,2,-1,1,1,-1
756.png,4,-1,-1,1,1
757.png,3,-1,1,1,-1
758.png,5,1,-1,-1,1
759.png,3,-1,-1,1,1
760.png,5,1,1,-1,-1
761.png,5,1,1,-1,-1
763.png,0,-1,-1,-1,1
764.png,2,1,1,1,-1
765.png,3,-1,1,1,-1
766.png,4,-1,1,1,-1
767.png,3,-1,1,1,1
768.png,1,-1,1,1,-1
769.png,4,-1,1,1,-1
770.png,5,1,1,-1,-1
771.png,1,1,1,1,-1
772.png,3,-1,1,1,1
773.png,3,-1,1,1,1
774.png,5,-1,1,-1,-1
775.png,-1,-1,1,1,1
776.png,5,-1,-1,-1,1
777.png,1,-1,1,1,-1
780.png,2,-1,1,1,-1
781.png,2,1,1,1,-1
782.png,3,1,1,1,-1
783.png,-1,-1,-1,1,1
784.png,1,-1,1,1,1
785.png,5,-1,1,-1,-1
786.png,2,1,1,1,-1
787.png,-1,-1,-1,1,1
788.png,1,-1,1,-1,1
789.png,1,-1,-1,1,1
790.png,4,-1,-1,1,1
791.png,1,-1,1,1,1
792.png,2,-1,1,1,-1
793.png,4,1,1,1,-1
794.png,1,1,1,1,-1
795.png,3,-1,-1,1,1
796.png,-1,-1,1,1,1
797.png,4,-1,1,1,-1
798.png,3,1,1,1,-1
799.png,2,-1,1,1,-1
800.png,4,-1,-1,1,1
801.png,4,-1,1,1,1
802.png,3,1,1,1,-1
803.png,-1,-1,1,1,1
804.png,4,-1,1,1,-1
806.png,-1,1,1,1,1
807.png,1,-1,1,1,1
808.png,0,-1,-1,-1,1
809.png,1,1,1,1,-1
810.png,1,-1,1,1,-1
811.png,5,-1,1,-1,-1
812.png,-1,-1,-1,1,1
814.png,1,-1,-1,1,1
815.png,4,1,1,1,-1
816.png,4,-1,1,1,-1
817.png,-1,-1,1,1,1
818.png,5,-1,-1,-1,1
819.png,1,-1,1,1,-1
820.png,-1,-1,1,1,1
822.png,0,1,-1,1,1
823.png,1,1,1,1,-1
825.png,3,-1,1,1,-1
826.png,1,-1,1,1,-1
827.png,1,-1,1,1,-1
828.png,1,-1,1,1,-1
829.png,4,-1,-1,1,1
830.png,1,1,1,1,-1
831.png,1,-1,-1,1,1
832.png,1,1,1,1,-1
833.png,1,-1,1,1,-1
834.png,1,1,1,1,-1
835.png,-1,-1,-1,1,1
836.png,3,-1,1,1,1
837.png,1,-1,1,1,1
838.png,3,-1,1,1,1
839.png,-1,-1,-1,1,1
840.png,2,1,1,1,-1
841.png,4,-1,-1,1,1
842.png,-1,-1,-1,1,1
844.png,1,-1,1,1,-1
845.png,2,-1,1,1,-1
846.png,4,-1,-1,1,1
847.png,1,1,1,1,-1
848.png,-1,-1,1,1,1
849.png,5,1,1,-1,-1
850.png,3,-1,1,1,1
851.png,5,-1,1,-1,-1
852.png,4,1,-1,1,1
853.png,5,-1,1,-1,-1
854.png,3,1,1,1,-1
855.png,3,-1,-1,1,1
856.png,4,-1,-1,1,1
857.png,-1,-1,1,1,1
858.png,1,1,1,1,-1
859.png,-1,-1,-1,1,1
860.png,1,1,1,1,-1
861.png,1,-1,1,1,1
863.png,5,1,1,-1,-1
864.png,-1,-1,-1,1,1
866.png,3,-1,1,1,1
867.png,-1,-1,1,-1,1
869.png,4,-1,1,1,1
870.png,2,-1,1,1,-1
871.png,5,1,1,-1,-1
872.png,1,1,1,1,-1
873.png,1,1,1,1,-1
874.png,3,-1,1,1,-1
877.png,4,-1,1,1,1
878.png,4,-1,-1,1,1
880.png,4,1,1,1,-1
881.png,4,-1,1,1,1
882.png,3,-1,1,1,-1
883.png,3,-1,1,1,-1
884.png,1,1,1,1,-1
885.png,1,-1,1,1,-1
886.png,1,1,1,1,-1
887.png,3,1,1,1,-1
888.png,1,-1,1,1,-1
889.png,-1,-1,1,-1,1
890.png,2,1,1,1,-1
891.png,1,-1,1,1,-1
892.png,3,-1,-1,1,1
894.png,1,-1,-1,-1,1
895.png,5,1,1,-1,-1
896.png,1,-1,1,1,-1
897.png,-1,1,-1,1,1
898.png,1,1,1,1,-1
899.png,3,1,1,1,-1
900.png,5,-1,1,-1,-1
901.png,4,-1,1,1,1
902.png,1,1,1,1,-1
903.png,3,-1,1,1,-1
904.png,1,-1,1,1,-1
905.png,0,-1,1,-1,-1
906.png,4,-1,1,1,1
907.png,0,-1,-1,1,1
908.png,2,-1,1,1,-1
909.png,1,1,1,1,-1
910.png,2,1,1,1,-1
911.png,4,-1,1,1,-1
912.png,1,-1,-1,1,1
913.png,5,1,1,-1,-1
914.png,4,-1,1,1,-1
916.png,2,-1,1,1,-1
917.png,3,-1,1,1,1
918.png,1,1,1,1,-1
919.png,3,-1,1,1,1
920.png,1,1,1,1,-1
921.png,2,-1,1,1,-1
922.png,3,1,1,1,-1
923.png,1,1,1,1,-1
924.png,4,-1,1,1,1
925.png,1,1,1,1,-1
926.png,-1,-1,1,1,1
927.png,3,-1,-1,1,1
928.png,2,-1,1,1,-1
929.png,-1,-1,-1,1,1
930.png,4,1,1,1,-1
932.png,1,-1,-1,-1,1
933.png,5,-1,1,-1,-1
934.png,2,1,1,1,-1
935.png,0,1,1,-1,-1
936.png,4,-1,-1,1,1
937.png,4,1,1,-1,1
938.png,-1,-1,-1,1,1
940.png,5,1,1,-1,-1
941.png,2,1,1,1,-1
942.png,3,-1,-1,1,1
943.png,5,-1,1,-1,-1
944.png,5,1,1,-1,-1
945.png,4,-1,-1,1,1
946.png,4,1,1,1,-1
947.png,5,-1,1,-1,-1
948.png,-1,-1,1,-1,1
949.png,5,1,1,-1,-1
950.png,0,-1,1,1,1
951.png,4,-1,-1,1,1
953.png,3,1,1,1,-1
954.png,3,-1,1,1,-1
955.png,2,1,1,1,-1
956.png,2,1,1,1,-1
957.png,2,-1,1,1,-1
958.png,3,-1,1,1,-1
959.png,4,-1,-1,1,1
960.png,-1,-1,-1,1,1
961.png,1,-1,1,1,1
962.png,3,-1,1,1,-1
963.png,-1,-1,-1,-1,1
964.png,4,-1,1,1,1
965.png,1,1,1,1,-1
966.png,-1,-1,1,1,1
967.png,1,-1,1,1,1
968.png,-1,1,1,-1,1
969.png,2,-1,1,1,-1
970.png,4,-1,-1,1,1
971.png,3,1,1,1,-1
972.png,-1,-1,-1,1,1
973.png,1,-1,-1,1,1
974.png,3,-1,1,1,1
975.png,5,1,1,-1,-1
976.png,1,1,1,1,-1
